,Sector,Entry_Date,Exit_Date,Entry_Spread,Exit_Spread,PnL,Holding_Period
84,USD Corporates Fallen Angels,2024-09-17,2024-09-19,0.0028556536007744437,0.002018964963760972,83.66886370134719,2
85,USD Corporates Fallen Angels,2024-09-25,2024-09-26,0.0030124748544028135,0.0009868978495281011,202.55770048747124,1
86,USD Corporates Fallen Angels,2024-10-01,2024-10-02,-0.002220905519418892,0.0020692933565900073,429.01988760088994,1
87,USD Corporates Fallen Angels,2024-10-03,2024-10-07,0.002882371745706047,3.571907182498002e-05,284.6652673881067,4
88,USD Corporates Fallen Angels,2024-10-17,2024-10-18,0.0031628935830578797,-0.00017060974751670344,333.35033305745833,1
89,USD Corporates Fallen Angels,2024-10-21,2024-10-22,0.00427913781020306,-0.0019831155688020408,626.22533790051,1
90,USD Corporates Fallen Angels,2024-10-23,2024-10-24,-0.0011118652421143738,1.310044575264513e-06,111.31752866896383,1
91,USD Corporates Fallen Angels,2024-10-31,2024-11-01,-0.0023664337153619375,0.00422585761919414,659.2291334556078,1
92,USD Corporates Fallen Angels,2024-11-04,2024-11-06,-0.003844695407373644,0.007257663923181723,1110.2359330555366,2
93,USD Corporates Fallen Angels,2024-11-07,2024-11-08,-0.0024128318391964942,0.0008976643819627039,331.0496221159198,1
94,USD Corporates Fallen Angels,2024-11-12,2024-11-13,0.0038252569863500563,0.001463674675693638,236.15823106564181,1
95,JUST Capital USD High Yield Benchmark,2024-01-02,2024-01-04,-0.0020325353446317695,0.003283858345117685,531.6393689749455,2
96,JUST Capital USD High Yield Benchmark,2024-01-05,2024-01-08,0.0033240042900241074,0.00030506294242083065,301.8941347603277,3
97,JUST Capital USD High Yield Benchmark,2024-01-10,2024-01-11,0.003720621709812466,-0.003409296638414494,712.991834822696,1
98,JUST Capital USD High Yield Benchmark,2024-01-17,2024-01-18,-0.0021547877317432684,0.0033960061964145583,555.0793928157826,1
99,JUST Capital USD High Yield Benchmark,2024-01-24,2024-01-25,0.003075166095000914,4.181045138040851e-05,303.33556436205055,1
100,JUST Capital USD High Yield Benchmark,2024-01-29,2024-02-01,-0.0022089932952462643,-0.001174430373862112,103.45629213841522,3
101,JUST Capital USD High Yield Benchmark,2024-02-02,2024-02-05,0.003829626208915471,0.0012738941325953768,255.57320763200943,3
102,JUST Capital USD High Yield Benchmark,2024-02-07,2024-02-08,0.0030254247459539085,0.001957498301897176,106.79264440567326,1
103,JUST Capital USD High Yield Benchmark,2024-02-22,2024-02-23,0.0029196329936544974,-0.0029389094049037112,585.8542398558209,1
104,JUST Capital USD High Yield Benchmark,2024-02-26,2024-02-27,-0.0024548017098097175,0.0016183282208888095,407.31299306985267,1
105,JUST Capital USD High Yield Benchmark,2024-02-28,2024-02-29,-0.0030817961151128337,-0.0009562912342824248,212.55048808304088,1
106,JUST Capital USD High Yield Benchmark,2024-03-05,2024-03-06,-0.0038016168015990726,0.0002405448478588479,404.21616494579206,1
107,JUST Capital USD High Yield Benchmark,2024-03-12,2024-03-13,0.0031602890014457152,0.0017728340857139369,138.74549157317784,1
108,JUST Capital USD High Yield Benchmark,2024-03-22,2024-03-25,-0.003261103811981858,0.00044031847733883023,370.1422289320688,3
109,JUST Capital USD High Yield Benchmark,2024-04-01,2024-04-02,0.0031218927759023574,-0.0014938488267359773,461.57416026383345,1
110,JUST Capital USD High Yield Benchmark,2024-04-05,2024-04-08,0.0031355245968680556,0.00040925698464844285,272.62676122196126,3
111,JUST Capital USD High Yield Benchmark,2024-04-09,2024-04-10,-0.002101466646850625,0.0034091893823432473,551.0656029193872,1
112,JUST Capital USD High Yield Benchmark,2024-04-12,2024-04-15,-0.0038377558177249416,0.0012791414230431952,511.68972407681366,3
113,JUST Capital USD High Yield Benchmark,2024-04-17,2024-04-18,-0.00208780275591236,0.0018612079032125362,394.9010659124896,1
114,JUST Capital USD High Yield Benchmark,2024-04-22,2024-04-24,0.0031415033246278146,-0.0005108493308716433,365.2352655499458,2
115,JUST Capital USD High Yield Benchmark,2024-05-07,2024-05-08,-0.0022116677394752315,-0.0002755893996744252,193.60783398008064,1
116,JUST Capital USD High Yield Benchmark,2024-05-14,2024-05-16,-0.0015453630049904188,0.00123661488112492,278.1977886115339,2
117,JUST Capital USD High Yield Benchmark,2024-05-22,2024-05-23,-0.001731577001250817,4.204365633420082e-07,173.1997437814159,1
118,JUST Capital USD High Yield Benchmark,2024-05-28,2024-05-29,0.0026804698985448683,0.00031645486126474776,236.40150372801205,1
119,JUST Capital USD High Yield Benchmark,2024-05-30,2024-05-31,-0.002293834977136422,-0.00012191288047458393,217.1922096661838,1
120,JUST Capital USD High Yield Benchmark,2024-06-03,2024-06-05,-0.0017110594298765935,-0.00018442478774627347,152.663464213032,2
121,JUST Capital USD High Yield Benchmark,2024-06-07,2024-06-10,0.004198169653494177,0.001340379531358793,285.7790122135384,3
122,JUST Capital USD High Yield Benchmark,2024-06-11,2024-06-12,-0.0022998570050727363,0.0010432898731356222,334.31468782083584,1
123,JUST Capital USD High Yield Benchmark,2024-06-13,2024-06-17,-0.005515348812161758,0.004337874082995463,985.3222895157221,4
124,JUST Capital USD High Yield Benchmark,2024-06-26,2024-06-27,0.003266434603212409,-0.0020537249997273355,532.0159602939744,1
125,JUST Capital USD High Yield Benchmark,2024-06-28,2024-06-30,0.004644143703848025,0.00010717729201625836,453.69664118317667,2
126,JUST Capital USD High Yield Benchmark,2024-07-01,2024-07-02,0.00279867139897394,-0.0019579951110031413,475.66665099770813,1
127,JUST Capital USD High Yield Benchmark,2024-07-22,2024-07-23,0.0028385963256516433,0.0002048624833210777,263.3733842330566,1
128,JUST Capital USD High Yield Benchmark,2024-07-29,2024-08-05,-0.002322772722114008,-0.0037966403656349845,-147.38676435209763,7
129,JUST Capital USD High Yield Benchmark,2024-08-06,2024-08-07,0.01203974790224105,0.0031836048738843603,885.6143028356689,1
130,JUST Capital USD High Yield Benchmark,2024-08-15,2024-08-16,0.005259466880300212,-0.0003886842188496331,564.8151099149845,1
131,JUST Capital USD High Yield Benchmark,2024-09-03,2024-09-04,-0.006430310811974316,-0.002835171765109168,359.51390468651476,1
132,JUST Capital USD High Yield Benchmark,2024-09-17,2024-09-20,0.002491916455036769,-0.001496290488519958,398.8206943556727,3
133,JUST Capital USD High Yield Benchmark,2024-09-25,2024-09-26,0.00277181687537309,0.0009341335651568139,183.7683310216276,1
134,JUST Capital USD High Yield Benchmark,2024-10-03,2024-10-07,0.0025751349065528117,-0.0015293113714793805,410.4446278032192,4
135,JUST Capital USD High Yield Benchmark,2024-10-17,2024-10-18,0.00290472928695229,0.00024284411415820273,266.18851727940876,1
136,JUST Capital USD High Yield Benchmark,2024-10-21,2024-10-22,0.0033836339786742498,-0.00114499670373569,452.863068240994,1
137,JUST Capital USD High Yield Benchmark,2024-10-29,2024-10-30,-0.0012213793624870073,0.000776220553919349,199.75999164063563,1
138,JUST Capital USD High Yield Benchmark,2024-10-31,2024-11-01,-0.0017367821939509032,0.002960037492882539,469.6819686833442,1
139,JUST Capital USD High Yield Benchmark,2024-11-04,2024-11-06,-0.001557160875499397,0.007663633870551023,922.079474605042,2
140,JUST Capital USD High Yield Benchmark,2024-11-07,2024-11-08,-0.0020594063209373736,0.0007439832044460193,280.3389525383393,1
141,JUST Capital USD High Yield Benchmark,2024-11-12,2024-11-13,0.003171185028100987,0.002206829303857849,96.43557242431378,1
142,Treasuries,2024-01-02,2024-01-04,0.0006189963176348456,-0.0003485024215464927,96.74987391813383,2
143,Treasuries,2024-01-09,2024-01-11,-0.000526950091745193,-0.000113002600951706,41.3947490793487,2
144,Treasuries,2024-01-18,2024-01-19,-0.0007362155069361442,4.007497733504728e-05,77.62904842711916,1
145,Treasuries,2024-01-24,2024-01-25,-0.000531758876980537,-0.0003901239557277947,14.163492125274235,1
146,Treasuries,2024-01-29,2024-02-02,0.00040203351042977786,-0.0005021203702485488,90.41538806783267,4
147,Treasuries,2024-02-05,2024-02-06,-0.000528140738045968,-0.000289826433334861,23.831430471110693,1
148,Treasuries,2024-02-21,2024-02-23,-0.0004745327698971735,0.0008194414566158326,129.39742265130062,2
149,Treasuries,2024-02-26,2024-02-27,0.0003877878128553114,-0.00018492894404853466,57.271675690384605,1
150,Treasuries,2024-02-28,2024-02-29,0.0007434626196294314,0.00019471849949459497,54.87441201348364,1
151,Treasuries,2024-03-04,2024-03-05,-0.0004186712408768001,0.0006100372209918437,102.87084618686437,1
152,Treasuries,2024-03-12,2024-03-13,-0.0005996565277435195,-0.0003124315878978434,28.72249398456761,1
153,Treasuries,2024-03-18,2024-03-19,-0.0005193843205084647,0.0002552501231587456,77.46344436672103,1
154,Treasuries,2024-03-21,2024-03-22,-0.0004963347734783241,0.0002813037489568515,77.76385224351756,1
155,Treasuries,2024-03-26,2024-03-27,0.0004820584605591538,9.93815964316358e-05,38.2676864127518,1
156,Treasuries,2024-03-28,2024-03-29,-0.000576477000113651,-1.4886816216641563e-05,56.15901838970095,1
157,Treasuries,2024-04-04,2024-04-05,0.0003697258416421878,-0.0002553294164842068,62.50552581263946,1
